KIS_ID,Chromosome,Start_position,End_position,UMAG_ID,Description,Gene_type,Prot_ID,ProteinNames,GeneNames,ProteinLength,Gene_Ontology_biological_process,,,,,,,,,
KIS67248,USMA_521_v2_14,154879,155532,UMAG_04352,putative MOB1 protein,Putative,11877,Putative MOB1 protein,UMAG_04352,217,cell division [GO:0051301]; positive regulation of protein phosphorylation [GO:0001934]; signal transduction [GO:0007165],,,,,,,,,
KIS67249,USMA_521_v2_14,156506,157951,UMAG_04353,hypothetical protein,Hypothetical,11878,Related to glycosyl transferase, group 2 family protein,UMAG_04353,481,,,,,,,,,
KIS67250,USMA_521_v2_14,160017,163640,UMAG_04354,hypothetical protein,Hypothetical,11879,Acyl_transf_3 domain-containing protein,UMAG_04354,1207,carbohydrate metabolic process [GO:0005975],,,,,,,,,
KIS67251,USMA_521_v2_14,164417,167698,UMAG_04355,hypothetical protein,Hypothetical,11880,HCP-like protein,UMAG_04355,1093,,,,,,,,,,
KIS67252,USMA_521_v2_14,168303,177497,UMAG_04356,hypothetical protein,Hypothetical,11881,DRIM domain-containing protein,UMAG_04356,3064,,,,,,,,,,
KIS67253,USMA_521_v2_14,177789,179597,UMAG_04357,hypothetical protein,Hypothetical,11882,Glyco_hydro_30 domain-containing protein,UMAG_04357,602,glucosylceramide catabolic process [GO:0006680],,,,,,,,,
KIS67254,USMA_521_v2_14,181550,183241,UMAG_04358,hypothetical protein,Hypothetical,11883,Acyl_transf_3 domain-containing protein,UMAG_04358,563,,,,,,,,,,
KIS67255,USMA_521_v2_14,184397,188073,UMAG_12262,hypothetical protein,Hypothetical,11884,4-coumarate-CoA ligase,UMAG_12262,611,secondary metabolic process [GO:0019748],,,,,,,,,
KIS67256,USMA_521_v2_14,193259,193537,UMAG_11146,hypothetical protein,Hypothetical,11885,Lipoprotein,UMAG_11146,92,,,,,,,,,,
KIS67257,USMA_521_v2_14,195629,198655,UMAG_11147,hypothetical protein,Hypothetical,11886,Related to wee1 kinase,UMAG_11147,1008,,,,,,,,,,
KIS67258,USMA_521_v2_14,199469,201697,UMAG_04361,hypothetical protein,Hypothetical,11887,Kri1_C domain-containing protein,UMAG_04361,742,endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447],,,,,,,
KIS67259,USMA_521_v2_14,201838,203352,UMAG_04362,hypothetical protein,Hypothetical,11888,Cytochrome P450,UMAG_04362,504,,,,,,,,,,
KIS67260,USMA_521_v2_14,204850,207822,UMAG_11148,hypothetical protein,Hypothetical,11889,Related to MTG2-Mitochondrial GTP binding protein,UMAG_11148,990,ribosome biogenesis [GO:0042254],,,,,,,,,
KIS67261,USMA_521_v2_14,208119,209711,UMAG_04364,putative exo-1,3-beta-glucanase precursor,Putative,11890,Putative exo-1,3-beta-glucanase,UMAG_04364,530,cellular glucan metabolic process [GO:0006073]; glucan catabolic process [GO:0009251],,,,,,,
KIS67262,USMA_521_v2_14,212163,213809,UMAG_04365,hypothetical protein,Hypothetical,11891,PHD-type domain-containing protein,UMAG_04365,548,negative regulation of GTPase activity [GO:0034260],,,,,,,,,
KIS67263,USMA_521_v2_14,216325,220719,UMAG_11149,hypothetical protein,Hypothetical,11892,EOG090X017N,UMAG_11149,1464,,,,,,,,,,
KIS67264,USMA_521_v2_14,221775,223783,UMAG_04367,hypothetical protein,Hypothetical,11893,Reverse transcriptase domain-containing protein,UMAG_04367,452,,,,,,,,,,
KIS67265,USMA_521_v2_14,225752,227902,UMAG_04368,hypothetical protein,Hypothetical,11894,GH16 domain-containing protein,UMAG_04368,716,glucan catabolic process [GO:0009251],,,,,,,,,
KIS67266,USMA_521_v2_14,228363,230024,UMAG_11150,hypothetical protein,Hypothetical,11895,Uracil permease,UMAG_11150,553,nucleobase transport [GO:0015851],,,,,,,,,
KIS67267,USMA_521_v2_14,231541,232809,UMAG_04370,hypothetical protein,Hypothetical,11896,TauD domain-containing protein,UMAG_04370,422,,,,,,,,,,
KIS67268,USMA_521_v2_14,233046,234965,UMAG_04371,hypothetical protein,Hypothetical,11897,Eukaryotic translation initiation factor 2A (eIF-2A),UMAG_04371,639,,,,,,,,,,
KIS67269,USMA_521_v2_14,236173,240963,UMAG_04372,cytoplasmic dynein heavy chain 2,Annotated,11898,Cytoplasmic dynein heavy chain 2,UMAG_04372,1596,cytoplasmic microtubule organization [GO:0031122]; establishment of spindle localization [GO:0051293]; microtubule-based movement [GO:0007018]; minus-end-directed vesicle transport along microtubule [GO:0072382]; mitotic cell cycle [GO:0000278]; nuclear migration [GO:0007097],,,,,,,,,
KIS67270,USMA_521_v2_14,241071,241718,UMAG_12263,hypothetical protein,Hypothetical,11899,Uncharacterized protein,UMAG_12263,215,,,,,,,,,,
KIS67271,USMA_521_v2_14,242151,243365,UMAG_11151,hypothetical protein,Hypothetical,11900,Geranylgeranyl transferase type-1 subunit beta (EC 2.5.1.59) (Geranylgeranyl transferase type I subunit beta),UMAG_11151,404,protein geranylgeranylation [GO:0018344]; protein prenylation [GO:0018342],,,,,,,,,
KIS67272,USMA_521_v2_14,244346,246064,UMAG_04374,farnesyl-diphosphate farnesyltransferase,Annotated,11901,Squalene synthase (SQS) (SS) (EC 2.5.1.21) (FPP:FPP farnesyltransferase) (Farnesyl-diphosphate farnesyltransferase),ERG9,UMAG_04374,572,ergosterol biosynthetic process [GO:0006696]; farnesyl diphosphate metabolic process [GO:0045338]; isoprenoid biosynthetic process [GO:0008299],,,,,,,,
KIS67273,USMA_521_v2_14,246268,248124,UMAG_04375,hypothetical protein,Hypothetical,11902,Related to hnRNP arginine N-methyltransferase,UMAG_04375,618,peptidyl-arginine methylation [GO:0018216],,,,,,,,,
KIS67274,USMA_521_v2_14,248575,251646,UMAG_04376,hypothetical protein,Hypothetical,11903,Peptide hydrolase (EC 3.4.-.-),UMAG_04376,1023,proteolysis [GO:0006508],,,,,,,,,
KIS67275,USMA_521_v2_14,252600,253808,UMAG_11152,hypothetical protein,Hypothetical,11904,Amidohydro-rel domain-containing protein,UMAG_11152,402,secondary metabolic process [GO:0019748],,,,,,,,,
KIS67276,USMA_521_v2_14,253896,255557,UMAG_04378,hypothetical protein,Hypothetical,11905,Aldedh domain-containing protein,UMAG_04378,553,,,,,,,,,,
KIS67277,USMA_521_v2_14,256457,257668,UMAG_04379,hypothetical protein,Hypothetical,11906,Fe2OG dioxygenase domain-containing protein,UMAG_04379,403,,,,,,,,,,
KIS67278,USMA_521_v2_14,258452,260818,UMAG_04380,hypothetical protein,Hypothetical,11907,Autophagy-related protein 9,ATG9,UMAG_04380,788,autophagy of mitochondrion [GO:0000422]; late nucleophagy [GO:0044805]; lipid transport [GO:0006869]; protein localization to phagophore assembly site [GO:0034497],,,,,,,,
KIS67279,USMA_521_v2_14,262601,268843,UMAG_04381,hypothetical protein,Hypothetical,11908,Related to SNF5-component of SWI/SNF transcription activator complex,UMAG_04381,2080,chromatin remodeling [GO:0006338]; regulation of transcription by RNA polymerase II [GO:0006357],,,,,,,,,
KIS67280,USMA_521_v2_14,269444,271714,UMAG_04382,putative methylcrotonoyl-CoA carboxylase biotin carboxylase chain,Putative,11909,Putative methylcrotonoyl-CoA carboxylase biotin carboxylase chain,UMAG_04382,756,,,,,,,,,,
KIS67281,USMA_521_v2_14,272026,272676,UMAG_04383,hypothetical protein,Hypothetical,11910,GOLD domain-containing protein,UMAG_04383,216,endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi organization [GO:0007030]; intracellular protein transport [GO:0006886]; protein retention in ER lumen [GO:0006621],,,,,,,,,
KIS67282,USMA_521_v2_14,273323,273676,UMAG_11153,hypothetical protein,Hypothetical,11911,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7,UMAG_11153,117,mitochondrial respiratory chain complex assembly [GO:0033108],,,,,,,,,
KIS67283,USMA_521_v2_14,273857,274690,UMAG_04384,hypothetical protein,Hypothetical,11912,Chromatin modification-related protein EAF6,UMAG_04384,277,chromatin organization [GO:0006325]; DNA repair [GO:0006281]; histone acetylation [GO:0016573],,,,,,,,,
KIS67284,USMA_521_v2_14,276162,278420,UMAG_04385,hypothetical protein,Hypothetical,11913,Multidrug and toxic compound extrusion protein,UMAG_04385,752,,,,,,,,,,
KIS67285,USMA_521_v2_14,279413,280103,UMAG_12264,hypothetical protein,Hypothetical,8403,Transmembrane protein,UMAG_12264,148,,,,,,,,,,
KIS67285,USMA_521_v2_14,279413,280103,UMAG_12264,hypothetical protein,Hypothetical,11914,Transmembrane protein,UMAG_12264,148,,,,,,,,,,
KIS67286,USMA_521_v2_14,280830,282503,UMAG_12061,hypothetical protein,Hypothetical,11915,Transmembrane protein,UMAG_12061,557,,,,,,,,,,
KIS67287,USMA_521_v2_14,283276,284105,UMAG_12062,putative ER lumen protein-retaining receptor,Putative,11916,ER lumen protein-retaining receptor,UMAG_12062,211,endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; protein retention in ER lumen [GO:0006621]; protein transport [GO:0015031],,,,,,,,,
KIS67288,USMA_521_v2_14,285587,286882,UMAG_04388,hypothetical protein,Hypothetical,11917,DAGKc domain-containing protein,UMAG_04388,431,phosphorylation [GO:0016310]; sphingolipid metabolic process [GO:0006665]; sphingosine biosynthetic process [GO:0046512],,,,,,,,,
KIS67289,USMA_521_v2_14,287328,290984,UMAG_04389,putative cohesin subunit protein,Putative,11918,Structural maintenance of chromosomes protein,UMAG_04389,1218,cell division [GO:0051301]; chromatin looping [GO:0140588]; meiotic sister chromatid cohesion [GO:0051177]; mitotic cohesin ssDNA (lagging strand) loading [GO:0062022]; mitotic sister chromatid cohesion [GO:0007064]; reciprocal meiotic recombination [GO:0007131]; replication-born double-strand break repair via sister chromatid exchange [GO:1990414]; synaptonemal complex assembly [GO:0007130],,,,,,,,,
KIS67290,USMA_521_v2_14,291748,292920,UMAG_04390,hypothetical protein,Hypothetical,11919,RRM domain-containing protein,UMAG_04390,390,,,,,,,,,,
KIS67291,USMA_521_v2_14,293745,296417,UMAG_04391,hypothetical protein,Hypothetical,11920,FHA domain-containing protein,UMAG_04391,890,,,,,,,,,,
KIS67292,USMA_521_v2_14,299138,305017,UMAG_10513,hypothetical protein,Hypothetical,11921,DH domain-containing protein,UMAG_10513,1959,,,,,,,,,,
KIS67293,USMA_521_v2_14,305662,307497,UMAG_04392,hypothetical protein,Hypothetical,11922,pH-response regulator protein palC,UMAG_04392,611,cellular response to pH [GO:0071467],,,,,,,,,
KIS67294,USMA_521_v2_14,307730,311338,UMAG_04393,hypothetical protein,Hypothetical,11923,FYVE-type domain-containing protein,UMAG_04393,1202,,,,,,,,,,
KIS67295,USMA_521_v2_14,311960,316114,UMAG_04394,putative P-type ATPase (amino-phospholipid-translocase),Putative,11924,Phospholipid-transporting ATPase (EC 7.6.2.1),UMAG_04394,1384,endocytic recycling [GO:0032456]; intracellular protein transport [GO:0006886]; phospholipid translocation [GO:0045332]; post-Golgi vesicle-mediated transport [GO:0006892],,,,,,,,,
KIS67296,USMA_521_v2_14,316970,317980,UMAG_10514,hypothetical protein,Hypothetical,11925,Pinin_SDK_memA domain-containing protein,UMAG_10514,336,mRNA processing [GO:0006397]; RNA splicing [GO:0008380],,,,,,,,,
KIS67297,USMA_521_v2_14,318218,319699,UMAG_10515,hypothetical protein,Hypothetical,11926,VWFA domain-containing protein,UMAG_10515,493,,,,,,,,,,
KIS67298,USMA_521_v2_14,320940,323823,UMAG_04397,hypothetical protein,Hypothetical,11927,Importin N-terminal domain-containing protein,UMAG_04397,924,protein import into nucleus [GO:0006606],,,,,,,,,
KIS67299,USMA_521_v2_14,325269,327383,UMAG_04398,hypothetical protein,Hypothetical,11928,Related to RNA binding protein Nrd1,UMAG_04398,704,,,,,,,,,,
KIS67300,USMA_521_v2_14,328663,329732,UMAG_04399,putative succinate-fumarate transporter,Putative,11929,Putative succinate-fumarate transporter,UMAG_04399,322,fumarate transport [GO:0015741]; succinate transport [GO:0015744],,,,,,,,,
KIS67301,USMA_521_v2_14,333061,334680,UMAG_04400,putative protease B,Putative,11930,Putative protease B,UMAG_04400,539,proteolysis [GO:0006508],,,,,,,,,
KIS67302,USMA_521_v2_14,335244,336911,UMAG_04401,putative chaperonin containing TCP-1 complex subunit CCT8,Putative,11931,CCT-theta,UMAG_04401,555,protein folding [GO:0006457],,,,,,,,,
KIS67303,USMA_521_v2_14,337458,339668,UMAG_04402,hypothetical protein,Hypothetical,11932,Mitochondrial translation optimization protein,UMAG_04402,710,mitochondrial tRNA wobble uridine modification [GO:0070899]; tRNA methylation [GO:0030488]; tRNA wobble uridine modification [GO:0002098],,,,,,,,,
KIS67304,USMA_521_v2_14,340192,344481,UMAG_12265,hypothetical protein,Hypothetical,11933,PH domain-containing protein,UMAG_12265,1429,,,,,,,,,,
KIS67305,USMA_521_v2_14,346002,348061,UMAG_04404,hypothetical protein,Hypothetical,11934,SLD3 domain-containing protein,UMAG_04404,659,,,,,,,,,,
KIS67306,USMA_521_v2_14,348443,351628,UMAG_04405,alpha-glucosidase II precursor,Annotated,11935,Alpha-glucosidase II,UMAG_04405,1061,carbohydrate metabolic process [GO:0005975]; N-glycan processing [GO:0006491],,,,,,,,,
KIS67307,USMA_521_v2_14,352056,353051,UMAG_04406,putative diphthamide methyltransferase,Putative,11936,Diphthine methyl ester synthase (EC 2.1.1.314),UMAG_04406,331,methylation [GO:0032259]; peptidyl-diphthamide biosynthetic process from peptidyl-histidine [GO:0017183],,,,,,,,,
KIS67308,USMA_521_v2_14,353231,357505,UMAG_04407,hypothetical protein,Hypothetical,11937,SUN domain-containing protein,UMAG_04407,1424,,,,,,,,,,
KIS67309,USMA_521_v2_14,373489,375240,UMAG_04410,putative siderophore iron transporter mirC,Putative,11938,Putative siderophore iron transporter mirC,UMAG_04410,583,transmembrane transport [GO:0055085],,,,,,,,,
KIS67310,USMA_521_v2_14,377382,379844,UMAG_04411,hypothetical protein,Hypothetical,11939,Pre-mRNA-splicing factor CEF1,CEF1,UMAG_04411,820,mRNA splicing, via spliceosome [GO:0000398],,,,,,,
KIS67311,USMA_521_v2_14,382653,384671,UMAG_10519,hypothetical protein,Hypothetical,11940,BZIP domain-containing protein,UMAG_10519,672,,,,,,,,,,
KIS67312,USMA_521_v2_14,385636,389751,UMAG_04413,hypothetical protein,Hypothetical,11941,Uso1_p115_head domain-containing protein,UMAG_04413,1371,endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi vesicle docking [GO:0048211]; intracellular protein transport [GO:0006886]; membrane fusion [GO:0061025]; transcytosis [GO:0045056]; vesicle fusion with Golgi apparatus [GO:0048280],,,,,,,,,
KIS67313,USMA_521_v2_14,390422,391191,UMAG_04414,hypothetical protein,Hypothetical,11942,SnoaL-like domain-containing protein,UMAG_04414,226,,,,,,,,,,
KIS67314,USMA_521_v2_14,392419,393585,UMAG_04415,hypothetical protein,Hypothetical,11943,CHK domain-containing protein,UMAG_04415,388,,,,,,,,,,
KIS67315,USMA_521_v2_14,393697,395373,UMAG_04416,putative protein that binds to DNA polymerase I,Putative,11944,FACT complex subunit POB3 (Facilitates chromatin transcription complex subunit POB3),POB3,UMAG_04416,558,constitutive heterochromatin assembly [GO:0140719]; DNA repair [GO:0006281]; DNA replication-independent chromatin organization [GO:0034724]; DNA-templated DNA replication [GO:0006261]; nucleosome organization [GO:0034728]; positive regulation of RNA polymerase II transcription preinitiation complex assembly [GO:0045899],,,,,,,,
KIS67316,USMA_521_v2_14,396148,397827,UMAG_04417,putative coronin,Putative,11945,Coronin,UMAG_04417,559,actin cortical patch localization [GO:0051666]; actin filament organization [GO:0007015]; microtubule-based process [GO:0007017]; negative regulation of Arp2/3 complex-mediated actin nucleation [GO:0034316]; positive regulation of Arp2/3 complex-mediated actin nucleation [GO:2000601],,,,,,,,,
KIS67317,USMA_521_v2_14,398033,398713,UMAG_10520,hypothetical protein,Hypothetical,11946,Exonuclease domain-containing protein,UMAG_10520,226,,,,,,,,,,
KIS67318,USMA_521_v2_14,400860,402830,UMAG_04419,hypothetical protein,Hypothetical,11947,CRAL-TRIO domain-containing protein,UMAG_04419,656,,,,,,,,,,
KIS67319,USMA_521_v2_14,404727,406070,UMAG_04420,hypothetical protein,Hypothetical,11948,3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11),UMAG_04420,447,pantothenate biosynthetic process [GO:0015940],,,,,,,,,
KIS67320,USMA_521_v2_14,406238,407188,UMAG_04421,hypothetical protein,Hypothetical,11949,Zn(2)-C6 fungal-type domain-containing protein,UMAG_04421,316,,,,,,,,,,
KIS67321,USMA_521_v2_14,407662,408543,UMAG_10522,hypothetical protein,Hypothetical,11950,Alkaline ceramidase 3,UMAG_10522,293,ceramide biosynthetic process [GO:0046513]; ceramide catabolic process [GO:0046514],,,,,,,,,
KIS67322,USMA_521_v2_14,408726,410621,UMAG_04422,hypothetical protein,Hypothetical,11951,Beta-xylanase (EC 3.2.1.8),UMAG_04422,631,polysaccharide catabolic process [GO:0000272],,,,,,,,,
KIS67323,USMA_521_v2_14,413201,416863,UMAG_04423,hypothetical protein,Hypothetical,11952,Potassium transport protein,UMAG_04423,1220,cellular potassium ion homeostasis [GO:0030007]; potassium ion import across plasma membrane [GO:1990573],,,,,,,,,
KIS67324,USMA_521_v2_14,417071,417616,UMAG_04424,hypothetical protein,Hypothetical,11953,Mediator complex subunit 19,UMAG_04424,181,,,,,,,,,,
KIS67325,USMA_521_v2_14,418206,419290,UMAG_10523,hypothetical protein,Hypothetical,11954,GDT1 family protein,UMAG_10523,319,calcium ion transmembrane transport [GO:0070588]; cellular manganese ion homeostasis [GO:0030026]; Golgi calcium ion homeostasis [GO:0032468]; Golgi calcium ion transport [GO:0032472]; manganese ion transmembrane transport [GO:0071421],,,,,,,,,
KIS67326,USMA_521_v2_14,420424,421668,UMAG_04426,hypothetical protein,Hypothetical,11955,Sacchrp_dh_NADP domain-containing protein,UMAG_04426,414,glycolipid biosynthetic process [GO:0009247],,,,,,,,,
KIS67327,USMA_521_v2_14,421951,424386,UMAG_04427,hypothetical protein,Hypothetical,11956,Rab-GAP TBC domain-containing protein,UMAG_04427,811,,,,,,,,,,
KIS67328,USMA_521_v2_14,425034,425946,UMAG_04428,hypothetical protein,Hypothetical,11957,Ferroxidase,UMAG_04428,218,cellular iron ion homeostasis [GO:0006879]; iron incorporation into metallo-sulfur cluster [GO:0018283],,,,,,,,,
KIS67329,USMA_521_v2_14,426493,427788,UMAG_04429,putative histidinol-phosphate transaminase,Putative,11958,Imidazole acetol-phosphate transaminase,UMAG_04429,431,histidine biosynthetic process [GO:0000105],,,,,,,,,
KIS67330,USMA_521_v2_14,428298,429152,UMAG_04430,putative esterase D,Putative,11959,S-formylglutathione hydrolase (EC 3.1.2.12),UMAG_04430,284,formaldehyde catabolic process [GO:0046294],,,,,,,,,
KIS67331,USMA_521_v2_14,430039,434757,UMAG_10524,hypothetical protein,Hypothetical,11960,MI domain-containing protein,UMAG_10524,1572,,,,,,,,,,
KIS67332,USMA_521_v2_14,437563,439828,UMAG_10525,hypothetical protein,Hypothetical,11961,G_PROTEIN_RECEP_F2_4 domain-containing protein,UMAG_10525,683,,,,,,,,,,
KIS67332,USMA_521_v2_14,437563,439828,UMAG_10525,hypothetical protein,Hypothetical,12347,G_PROTEIN_RECEP_F2_4 domain-containing protein,UMAG_10525,683,,,,,,,,,,
KIS67333,USMA_521_v2_14,441787,444273,UMAG_04433,hydrophobin 3,Annotated,11962,Hydrophobin 3,UMAG_04433,828,,,,,,,,,,
KIS67334,USMA_521_v2_14,448567,451102,UMAG_10526,putative Hsp70 family ATPase SSB2,Putative,11963,Putative Hsp70 family ATPase SSB2,UMAG_10526,619,cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; protein refolding [GO:0042026],,,,,,,,,
KIS67335,USMA_521_v2_14,452139,453251,UMAG_10527,hypothetical protein,Hypothetical,11964,Related to MRP4-mitochondrial ribosomal protein, small subunit,UMAG_10527,370,translation [GO:0006412],,,,,,,,
KIS67336,USMA_521_v2_14,453480,457967,UMAG_10528,hypothetical protein,Hypothetical,11965,P-loop containing nucleoside triphosphate hydrolase protein,UMAG_10528,1495,transmembrane transport [GO:0055085],,,,,,,,,
KIS67337,USMA_521_v2_14,459991,461581,UMAG_10529,hypothetical protein,Hypothetical,11966,Cyclin N-terminal domain-containing protein,UMAG_10529,490,regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079],,,,,,,,,
KIS67338,USMA_521_v2_14,465223,466197,UMAG_10530,hypothetical protein,Hypothetical,11967,Uncharacterized protein,UMAG_10530,286,,,,,,,,,,
KIS67339,USMA_521_v2_14,473583,474749,UMAG_04441,hypothetical protein,Hypothetical,11968,Very-long-chain 3-oxoacyl-CoA reductase (EC 1.1.1.330) (3-ketoacyl-CoA reductase) (3-ketoreductase) (KAR) (Microsomal beta-keto-reductase),UMAG_04441,350,fatty acid elongation [GO:0030497],,,,,,,,,
KIS67340,USMA_521_v2_14,475096,476847,UMAG_04442,putative asparagine--tRNA ligase DED81,Putative,11969,Asparagine--tRNA ligase (EC 6.1.1.22) (Asparaginyl-tRNA synthetase),UMAG_04442,583,asparaginyl-tRNA aminoacylation [GO:0006421],,,,,,,,,
KIS67341,USMA_521_v2_14,477832,485814,UMAG_04443,hypothetical protein,Hypothetical,11970,TOG domain-containing protein,UMAG_04443,2660,cellular response to amino acid starvation [GO:0034198]; positive regulation of kinase activity [GO:0033674]; regulation of translation [GO:0006417],,,,,,,,,
KIS67342,USMA_521_v2_14,486900,487955,UMAG_04444,hypothetical protein,Hypothetical,11971,Mitochondrial carrier,UMAG_04444,351,,,,,,,,,,
KIS67343,USMA_521_v2_14,488671,491283,UMAG_12267,hypothetical protein,Hypothetical,11972,Related to IST2 protein,UMAG_12267,870,chloride transmembrane transport [GO:1902476]; transmembrane transport [GO:0055085],,,,,,,,,
KIS67344,USMA_521_v2_14,491585,492206,UMAG_04446,hypothetical protein,Hypothetical,11973,U6 snRNA-associated Sm-like protein LSm4,LSM4,UMAG_04446,146,nuclear-transcribed mRNA catabolic process [GO:0000956]; P-body assembly [GO:0033962]; rRNA processing [GO:0006364]; spliceosomal snRNP assembly [GO:0000387],,,,,,,,
KIS67345,USMA_521_v2_14,492843,494480,UMAG_04447,hypothetical protein,Hypothetical,11974,Related to NAB2-nuclear polyadenylated RNA-binding protein required for nuclear mRNA export,UMAG_04447,545,negative regulation of mRNA polyadenylation [GO:1900364]; regulation of mRNA stability [GO:0043488],,,,,,,,,
KIS67346,USMA_521_v2_14,495141,495740,UMAG_04448,hypothetical protein,Hypothetical,11975,Calmodulin,UMAG_04448,199,actomyosin structure organization [GO:0031032]; mitotic actomyosin contractile ring contraction [GO:1902404]; mitotic cytokinesis [GO:0000281],,,,,,,,,
KIS67347,USMA_521_v2_14,496724,498097,UMAG_10531,hypothetical protein,Hypothetical,11976,Nucleoporin POM34,UMAG_10531,457,,,,,,,,,,
KIS67348,USMA_521_v2_14,498308,499720,UMAG_10532,hypothetical protein,Hypothetical,11977,Nicotinate phosphoribosyltransferase (EC 6.3.4.21),UMAG_10532,470,NAD salvage [GO:0034355]; nicotinate nucleotide salvage [GO:0019358]; rDNA heterochromatin assembly [GO:0000183]; subtelomeric heterochromatin assembly [GO:0031509],,,,,,,,,
KIS67349,USMA_521_v2_14,500607,502073,UMAG_04451,hypothetical protein,Hypothetical,11978,CAP10 domain-containing protein,UMAG_04451,488,,,,,,,,,,
KIS67350,USMA_521_v2_14,502261,505380,UMAG_10533,putative alpha-ketoglutarate dehydrogenase KGD1,Putative,11979,Oxoglutarate dehydrogenase (succinyl-transferring) (EC 1.2.4.2),UMAG_10533,1039,2-oxoglutarate metabolic process [GO:0006103]; tricarboxylic acid cycle [GO:0006099],,,,,,,,,
KIS67351,USMA_521_v2_14,507992,512254,UMAG_10534,hypothetical protein,Hypothetical,11980,Related to Protein-tyrosine phosphatase,UMAG_10534,1420,protein dephosphorylation [GO:0006470],,,,,,,,,
KIS67352,USMA_521_v2_14,512460,513224,UMAG_10535,hypothetical protein,Hypothetical,11981,Pre-mRNA-splicing factor CWC15,UMAG_10535,254,mRNA cis splicing, via spliceosome [GO:0045292],,,,,,,,
KIS67353,USMA_521_v2_14,513777,514565,UMAG_10536,hypothetical protein,Hypothetical,11982,Peptidylprolyl isomerase (EC 5.2.1.8),UMAG_10536,150,chaperone-mediated protein folding [GO:0061077]; protein peptidyl-prolyl isomerization [GO:0000413],,,,,,,,,
KIS67354,USMA_521_v2_14,514699,515916,UMAG_04456,cAMP-dependent protein kinase catalytic subunit TPK2,Annotated,11983,cAMP-dependent protein kinase catalytic subunit TPK2,UMAG_04456,405,adenylate cyclase-activating glucose-activated G protein-coupled receptor signaling pathway [GO:0010619]; negative regulation of gluconeogenesis [GO:0045721]; negative regulation of induction of conjugation with cellular fusion [GO:0010515]; negative regulation of transcription from RNA polymerase II promoter by glucose [GO:0061987]; positive regulation of protein export from nucleus [GO:0046827]; protein kinase A signaling [GO:0010737]; protein phosphorylation [GO:0006468],,,,,,,,,
KIS67355,USMA_521_v2_14,517979,518584,UMAG_04457,hypothetical protein,Hypothetical,11984,UPF0220-domain-containing protein,UMAG_04457,201,late endosome to vacuole transport via multivesicular body sorting pathway [GO:0032511],,,,,,,,,
KIS67356,USMA_521_v2_14,519169,520248,UMAG_10538,hypothetical protein,Hypothetical,11985,2-dehydropantoate 2-reductase,UMAG_10538,359,pantothenate biosynthetic process [GO:0015940],,,,,,,,,
KIS67357,USMA_521_v2_14,520367,521614,UMAG_10539,hypothetical protein,Hypothetical,11986,Terpenoid synthase,UMAG_10539,370,isoprenoid biosynthetic process [GO:0008299],,,,,,,,,
KIS67358,USMA_521_v2_14,522184,522779,UMAG_04460,hypothetical protein,Hypothetical,11987,DNA-directed RNA polymerases I, II, and III subunit RPABC3,UMAG_04460,161,termination of RNA polymerase I transcription [GO:0006363]; termination of RNA polymerase III transcription [GO:0006386]; transcription elongation by RNA polymerase I [GO:0006362]; transcription elongation by RNA polymerase II promoter [GO:0006368]; transcription initiation at RNA polymerase I promoter [GO:0006361]; transcription initiation at RNA polymerase II promoter [GO:0006367]; transcription initiation at RNA polymerase III promoter [GO:0006384]; tRNA transcription by RNA polymerase III [GO:0042797],,,,,,,
KIS67359,USMA_521_v2_14,524008,527160,UMAG_04461,putative secretory pathway Ca++-transporting P-type ATPase,Putative,11988,Calcium-transporting ATPase (EC 7.2.2.10),UMAG_04461,1050,calcium ion transmembrane transport [GO:0070588]; cellular calcium ion homeostasis [GO:0006874]; ion transmembrane transport [GO:0034220]; manganese ion transport [GO:0006828],,,,,,,,,
KIS67360,USMA_521_v2_14,527685,530438,UMAG_04462,hypothetical protein,Hypothetical,11989,Mediator complex subunit 17,UMAG_04462,917,,,,,,,,,,
KIS67361,USMA_521_v2_14,530665,531786,UMAG_04463,hypothetical protein,Hypothetical,11990,L-type lectin-like domain-containing protein,UMAG_04463,373,endoplasmic reticulum organization [GO:0007029]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi organization [GO:0007030],,,,,,,,,
KIS67362,USMA_521_v2_14,534043,537486,UMAG_04464,hypothetical protein,Hypothetical,11991,FAD-binding PCMH-type domain-containing protein,UMAG_04464,1147,,,,,,,,,,
KIS67363,USMA_521_v2_14,538325,540736,UMAG_04465,hypothetical protein,Hypothetical,11992,Bromo domain-containing protein,UMAG_04465,803,histone acetylation [GO:0016573]; regulation of transcription by RNA polymerase II [GO:0006357],,,,,,,,,
